#no. particle1         E        px        py        pz particle2         E        px        py        pz
139	 b quark	 87.8595	 4.12569	-3.14606	-87.6065	 b quark	 72.9254	 59.7851	-41.2736	-4.78255
140	 b quark	  17.299	-8.75121	-14.2837	 1.08414	 b quark	 77.0296	-61.4898	-46.1236	  2.7747
141	 W boson	 88.9367	-34.9406	 2.09567	-14.9571	 W boson	 102.159	-47.8192	  2.5532	-41.0191
142	 b quark	 82.8757	 41.0546	 28.4944	 -65.981	 b quark	   66.44	 6.31288	 65.3355	-9.39283
143	tau lepton	 57.2958	 5.65844	 54.6042	 16.3099	tau lepton	 25.8989	 5.79034	 17.5385	 18.0685
144	 b quark	 32.1361	 14.7018	-14.3145	 24.3764	 b quark	 62.5265	 3.46322	-26.8903	 56.1872
145	 b quark	 33.9533	 3.57024	 3.31953	 33.3405	 b quark	 39.0345	 31.7795	 22.1489	 2.39047
146	 b quark	 60.2213	-2.27433	 -15.119	  58.098	 b quark	 34.9093	-0.0786653	-33.4695	 8.99852
147	 b quark	    89.4	 19.7551	-23.9404	-83.7346	 b quark	 51.3513	 50.6263	-3.81287	 -6.4747
148	 b quark	 24.4173	 18.3231	 12.0386	-9.90293	 b quark	 69.7322	  1.5242	 38.0261	-58.2821
149	 b quark	 52.7567	  12.197	-45.1118	-24.1239	 b quark	 55.4851	 21.0828	-3.07667	-51.0605
150	 b quark	 71.5129	-32.2851	-16.5404	-61.4875	 b quark	 63.9762	 -37.168	-38.4645	-34.8497
151	 b quark	 44.4316	 42.9385	-10.4544	 1.91844	 b quark	 39.0768	 0.95584	-38.0255	 7.91668
152	 b quark	 32.7281	 -2.8947	 30.6872	-10.1773	 b quark	 32.4066	-3.20976	 31.9653	-0.794527
153	 W boson	 107.983	 4.78382	 4.68905	 71.7954	 W boson	 131.117	 66.0853	 77.2893	 19.7453
154	 b quark	  63.011	 46.8505	-41.1828	 -7.8695	 b quark	 45.5315	 28.2587	-19.3898	-29.6838
155	 b quark	 70.0322	 -69.192	 7.50467	-6.57082	 b quark	 47.6493	 -2.9803	 38.8268	-27.1401
156	tau lepton	  11.423	-8.26636	 1.22559	-7.58242	tau lepton	  75.978	-69.5649	 7.61869	-29.5325
157	 b quark	 67.4471	 23.0994	-44.5364	-44.8839	 b quark	 24.9687	 17.8859	 -1.3639	-16.8582
158	 b quark	 95.8413	 -61.341	  67.515	  29.105	 b quark	 42.7117	-1.50008	 27.9026	 32.0315
159	 b quark	 82.2523	  53.648	-53.2443	 32.1699	 b quark	 68.9506	 35.4039	-11.2028	 57.9462
160	 b quark	  83.285	 -9.2442	-77.9107	-27.6293	 b quark	 88.6958	  -65.52	-18.7906	-56.5996
161	 b quark	 65.7921	-58.4531	  1.2194	 29.8811	 b quark	 19.6202	-3.30744	 15.8546	 10.2552
162	 b quark	  22.182	 2.22755	-9.53731	 19.4588	 b quark	 66.3748	 41.3958	-0.060205	 51.7158
